"No.","Time","Source","Destination","Protocol","Length","Info"
"88","11.243999","2.4.2","host","USB","36","URB_INTERRUPT in"
"89","11.244014","host","2.4.2","USB","27","URB_INTERRUPT in"
"90","11.251999","2.4.2","host","USB","36","URB_INTERRUPT in"
"91","11.252014","host","2.4.2","USB","27","URB_INTERRUPT in"
"92","11.258998","2.4.2","host","USB","36","URB_INTERRUPT in"
"93","11.259017","host","2.4.2","USB","27","URB_INTERRUPT in"
"94","11.266997","2.4.2","host","USB","36","URB_INTERRUPT in"
"95","11.267015","host","2.4.2","USB","27","URB_INTERRUPT in"
"96","11.273997","2.4.2","host","USB","36","URB_INTERRUPT in"
"97","11.274015","host","2.4.2","USB","27","URB_INTERRUPT in"
"98","11.281998","2.4.2","host","USB","36","URB_INTERRUPT in"
"99","11.282018","host","2.4.2","USB","27","URB_INTERRUPT in"
"100","11.289001","2.4.2","host","USB","36","URB_INTERRUPT in"
"101","11.289018","host","2.4.2","USB","27","URB_INTERRUPT in"
"102","11.297006","2.4.2","host","USB","36","URB_INTERRUPT in"
"103","11.297021","host","2.4.2","USB","27","URB_INTERRUPT in"
"104","11.303996","2.4.2","host","USB","36","URB_INTERRUPT in"
"105","11.304014","host","2.4.2","USB","27","URB_INTERRUPT in"
"106","11.311997","2.4.2","host","USB","36","URB_INTERRUPT in"
"107","11.312015","host","2.4.2","USB","27","URB_INTERRUPT in"
"108","11.318999","2.4.2","host","USB","36","URB_INTERRUPT in"
"109","11.319016","host","2.4.2","USB","27","URB_INTERRUPT in"
"110","11.326997","2.4.2","host","USB","36","URB_INTERRUPT in"
"111","11.327014","host","2.4.2","USB","27","URB_INTERRUPT in"
"112","11.333998","2.4.2","host","USB","36","URB_INTERRUPT in"
"113","11.334016","host","2.4.2","USB","27","URB_INTERRUPT in"
"114","11.341999","2.4.2","host","USB","36","URB_INTERRUPT in"
"115","11.342015","host","2.4.2","USB","27","URB_INTERRUPT in"
"116","11.349002","2.4.2","host","USB","36","URB_INTERRUPT in"
"117","11.349020","host","2.4.2","USB","27","URB_INTERRUPT in"
"118","11.356999","2.4.2","host","USB","36","URB_INTERRUPT in"
"119","11.357017","host","2.4.2","USB","27","URB_INTERRUPT in"
"120","11.363997","2.4.2","host","USB","36","URB_INTERRUPT in"
"121","11.364015","host","2.4.2","USB","27","URB_INTERRUPT in"
"122","11.372000","2.4.2","host","USB","36","URB_INTERRUPT in"
"123","11.372022","host","2.4.2","USB","27","URB_INTERRUPT in"
"124","11.378997","2.4.2","host","USB","36","URB_INTERRUPT in"
"125","11.379017","host","2.4.2","USB","27","URB_INTERRUPT in"
"126","11.387002","2.4.2","host","USB","36","URB_INTERRUPT in"
"127","11.387022","host","2.4.2","USB","27","URB_INTERRUPT in"
"128","11.394004","2.4.2","host","USB","36","URB_INTERRUPT in"
"129","11.394022","host","2.4.2","USB","27","URB_INTERRUPT in"
"130","11.402005","2.4.2","host","USB","36","URB_INTERRUPT in"
"131","11.402025","host","2.4.2","USB","27","URB_INTERRUPT in"
"132","11.408998","2.4.2","host","USB","36","URB_INTERRUPT in"
"133","11.409019","host","2.4.2","USB","27","URB_INTERRUPT in"
"134","11.417000","2.4.2","host","USB","36","URB_INTERRUPT in"
"135","11.417019","host","2.4.2","USB","27","URB_INTERRUPT in"
"136","11.423997","2.4.2","host","USB","36","URB_INTERRUPT in"
"137","11.424015","host","2.4.2","USB","27","URB_INTERRUPT in"
"138","11.431996","2.4.2","host","USB","36","URB_INTERRUPT in"
"139","11.432019","host","2.4.2","USB","27","URB_INTERRUPT in"
"140","11.438996","2.4.2","host","USB","36","URB_INTERRUPT in"
"141","11.439016","host","2.4.2","USB","27","URB_INTERRUPT in"
"142","11.446997","2.4.2","host","USB","36","URB_INTERRUPT in"
"143","11.447016","host","2.4.2","USB","27","URB_INTERRUPT in"
"144","11.453995","2.4.2","host","USB","36","URB_INTERRUPT in"
"145","11.454011","host","2.4.2","USB","27","URB_INTERRUPT in"
"146","11.462000","2.4.2","host","USB","36","URB_INTERRUPT in"
"147","11.462020","host","2.4.2","USB","27","URB_INTERRUPT in"
"148","11.468995","2.4.2","host","USB","36","URB_INTERRUPT in"
"149","11.469014","host","2.4.2","USB","27","URB_INTERRUPT in"
"150","11.476997","2.4.2","host","USB","36","URB_INTERRUPT in"
"151","11.477017","host","2.4.2","USB","27","URB_INTERRUPT in"
"152","11.483999","2.4.2","host","USB","36","URB_INTERRUPT in"
"153","11.484020","host","2.4.2","USB","27","URB_INTERRUPT in"
"154","11.492003","2.4.2","host","USB","36","URB_INTERRUPT in"
"155","11.492028","host","2.4.2","USB","27","URB_INTERRUPT in"
"156","11.499006","2.4.2","host","USB","36","URB_INTERRUPT in"
"157","11.499031","host","2.4.2","USB","27","URB_INTERRUPT in"
"158","11.506998","2.4.2","host","USB","36","URB_INTERRUPT in"
"159","11.507018","host","2.4.2","USB","27","URB_INTERRUPT in"
"160","11.514003","2.4.2","host","USB","36","URB_INTERRUPT in"
"161","11.514032","host","2.4.2","USB","27","URB_INTERRUPT in"
"162","11.521996","2.4.2","host","USB","36","URB_INTERRUPT in"
"163","11.522019","host","2.4.2","USB","27","URB_INTERRUPT in"
"164","11.528996","2.4.2","host","USB","36","URB_INTERRUPT in"
"165","11.529019","host","2.4.2","USB","27","URB_INTERRUPT in"
"166","11.537001","2.4.2","host","USB","36","URB_INTERRUPT in"
"167","11.537019","host","2.4.2","USB","27","URB_INTERRUPT in"
"168","11.544007","2.4.2","host","USB","36","URB_INTERRUPT in"
"169","11.544040","host","2.4.2","USB","27","URB_INTERRUPT in"
"170","11.552003","2.4.2","host","USB","36","URB_INTERRUPT in"
"171","11.552021","host","2.4.2","USB","27","URB_INTERRUPT in"
"172","11.558998","2.4.2","host","USB","36","URB_INTERRUPT in"
"173","11.559024","host","2.4.2","USB","27","URB_INTERRUPT in"
"174","11.566997","2.4.2","host","USB","36","URB_INTERRUPT in"
"175","11.567016","host","2.4.2","USB","27","URB_INTERRUPT in"
"176","11.573993","2.4.2","host","USB","36","URB_INTERRUPT in"
"177","11.574013","host","2.4.2","USB","27","URB_INTERRUPT in"
"178","11.581997","2.4.2","host","USB","36","URB_INTERRUPT in"
"179","11.582016","host","2.4.2","USB","27","URB_INTERRUPT in"
"180","11.588993","2.4.2","host","USB","36","URB_INTERRUPT in"
"181","11.589013","host","2.4.2","USB","27","URB_INTERRUPT in"
"182","11.596993","2.4.2","host","USB","36","URB_INTERRUPT in"
"183","11.597008","host","2.4.2","USB","27","URB_INTERRUPT in"
"184","11.603993","2.4.2","host","USB","36","URB_INTERRUPT in"
"185","11.604008","host","2.4.2","USB","27","URB_INTERRUPT in"
"186","11.612000","2.4.2","host","USB","36","URB_INTERRUPT in"
"187","11.612016","host","2.4.2","USB","27","URB_INTERRUPT in"
"188","11.618995","2.4.2","host","USB","36","URB_INTERRUPT in"
"189","11.619015","host","2.4.2","USB","27","URB_INTERRUPT in"
"190","11.626996","2.4.2","host","USB","36","URB_INTERRUPT in"
"191","11.627013","host","2.4.2","USB","27","URB_INTERRUPT in"
"192","11.633991","2.4.2","host","USB","36","URB_INTERRUPT in"
"193","11.634006","host","2.4.2","USB","27","URB_INTERRUPT in"
"194","11.641994","2.4.2","host","USB","36","URB_INTERRUPT in"
"195","11.642010","host","2.4.2","USB","27","URB_INTERRUPT in"
"196","11.648994","2.4.2","host","USB","36","URB_INTERRUPT in"
"197","11.649009","host","2.4.2","USB","27","URB_INTERRUPT in"
"198","11.656995","2.4.2","host","USB","36","URB_INTERRUPT in"
"199","11.657010","host","2.4.2","USB","27","URB_INTERRUPT in"
"200","11.663992","2.4.2","host","USB","36","URB_INTERRUPT in"
"201","11.664007","host","2.4.2","USB","27","URB_INTERRUPT in"
"202","11.671994","2.4.2","host","USB","36","URB_INTERRUPT in"
"203","11.672016","host","2.4.2","USB","27","URB_INTERRUPT in"
"204","11.678995","2.4.2","host","USB","36","URB_INTERRUPT in"
"205","11.679012","host","2.4.2","USB","27","URB_INTERRUPT in"
"206","11.686996","2.4.2","host","USB","36","URB_INTERRUPT in"
"207","11.687021","host","2.4.2","USB","27","URB_INTERRUPT in"
"208","11.693997","2.4.2","host","USB","36","URB_INTERRUPT in"
"209","11.694016","host","2.4.2","USB","27","URB_INTERRUPT in"
"210","11.701994","2.4.2","host","USB","36","URB_INTERRUPT in"
"211","11.702013","host","2.4.2","USB","27","URB_INTERRUPT in"
"212","11.708995","2.4.2","host","USB","36","URB_INTERRUPT in"
"213","11.709011","host","2.4.2","USB","27","URB_INTERRUPT in"
"214","11.716998","2.4.2","host","USB","36","URB_INTERRUPT in"
"215","11.717013","host","2.4.2","USB","27","URB_INTERRUPT in"
"216","11.723993","2.4.2","host","USB","36","URB_INTERRUPT in"
"217","11.724008","host","2.4.2","USB","27","URB_INTERRUPT in"
"218","11.731991","2.4.2","host","USB","36","URB_INTERRUPT in"
"219","11.732007","host","2.4.2","USB","27","URB_INTERRUPT in"
"220","11.738995","2.4.2","host","USB","36","URB_INTERRUPT in"
"221","11.739012","host","2.4.2","USB","27","URB_INTERRUPT in"
"222","11.747000","2.4.2","host","USB","36","URB_INTERRUPT in"
"223","11.747019","host","2.4.2","USB","27","URB_INTERRUPT in"
"224","11.753993","2.4.2","host","USB","36","URB_INTERRUPT in"
"225","11.754010","host","2.4.2","USB","27","URB_INTERRUPT in"
"226","11.761991","2.4.2","host","USB","36","URB_INTERRUPT in"
"227","11.762006","host","2.4.2","USB","27","URB_INTERRUPT in"
"228","11.768992","2.4.2","host","USB","36","URB_INTERRUPT in"
"229","11.769008","host","2.4.2","USB","27","URB_INTERRUPT in"
"230","11.776994","2.4.2","host","USB","36","URB_INTERRUPT in"
"231","11.777011","host","2.4.2","USB","27","URB_INTERRUPT in"
"232","11.783993","2.4.2","host","USB","36","URB_INTERRUPT in"
"233","11.784014","host","2.4.2","USB","27","URB_INTERRUPT in"
"234","11.791994","2.4.2","host","USB","36","URB_INTERRUPT in"
"235","11.792011","host","2.4.2","USB","27","URB_INTERRUPT in"
