"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","2.1.0","USB","36","GET DESCRIPTOR Request DEVICE"
"2","0.000000","2.1.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"3","0.000000","host","2.1.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000000","2.1.0","host","USB","53","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000000","host","2.1.0","USB","36","SET CONFIGURATION Request"
"6","0.000000","2.1.0","host","USB","28","SET CONFIGURATION Response"
"7","0.000000","host","2.4.0","USB","36","GET DESCRIPTOR Request DEVICE"
"8","0.000000","2.4.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"9","0.000000","host","2.4.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"10","0.000000","2.4.0","host","USB","137","GET DESCRIPTOR Response CONFIGURATION"
"11","0.000000","host","2.4.0","USB","36","SET CONFIGURATION Request"
"12","0.000000","2.4.0","host","USB","28","SET CONFIGURATION Response"
"13","0.000000","host","2.5.0","USB","36","GET DESCRIPTOR Request DEVICE"
"14","0.000000","2.5.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"15","0.000000","host","2.5.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"16","0.000000","2.5.0","host","USB","87","GET DESCRIPTOR Response CONFIGURATION"
"17","0.000000","host","2.5.0","USB","36","SET CONFIGURATION Request"
"18","0.000000","2.5.0","host","USB","28","SET CONFIGURATION Response"
"19","3.102041","2.1.1","host","USB","28","URB_INTERRUPT in"
"20","3.103535","host","2.1.1","USB","27","URB_INTERRUPT in"
"21","3.218028","2.1.1","host","USB","28","URB_INTERRUPT in"
"22","3.219403","host","2.1.1","USB","27","URB_INTERRUPT in"
"23","3.270872","host","2.2.0","USB","36","GET DESCRIPTOR Request DEVICE"
"24","3.271139","2.2.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"25","3.271158","host","2.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"26","3.271514","2.2.0","host","USB","37","GET DESCRIPTOR Response CONFIGURATION"
"27","3.271532","host","2.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"28","3.271890","2.2.0","host","USB","60","GET DESCRIPTOR Response CONFIGURATION"
"29","3.271896","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"30","3.272265","2.2.0","host","USB","30","GET DESCRIPTOR Response STRING[Malformed Packet]"
"31","3.272282","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"32","3.272636","2.2.0","host","USB","32","GET DESCRIPTOR Response STRING"
"33","3.272662","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"34","3.273024","2.2.0","host","USB","30","GET DESCRIPTOR Response STRING"
"35","3.273041","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"36","3.273390","2.2.0","host","USB","54","GET DESCRIPTOR Response STRING"
"37","3.275198","host","2.2.0","USB","36","SET CONFIGURATION Request"
"38","3.275640","2.2.0","host","USB","28","SET CONFIGURATION Response"
"39","3.275652","host","2.2.0","USB","36","SET INTERFACE Request"
"40","3.275752","2.2.0","host","USB","28","SET INTERFACE Response"
"41","3.275760","host","2.2.0","USBMS","36","GET MAX LUN Request"
"42","3.276019","2.2.0","host","USBMS","29","GET MAX LUN Response"
"43","3.276041","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00 "
"44","3.276065","2.2.2","host","USB","27","URB_BULK out"
"45","3.276067","host","2.2.1","USB","27","URB_BULK in"
"46","3.730049","2.2.1","host","USBMS","63","[SCSI transfer limited due to allocation_length too small]"
"47","3.730071","host","2.2.1","USB","27","URB_BULK in"
"48","3.730106","2.2.1","host","USBMS","40",""
"49","3.730148","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00 "
"50","3.730171","2.2.2","host","USB","27","URB_BULK out"
"51","3.730173","host","2.2.1","USB","27","URB_BULK in"
"52","3.730329","2.2.1","host","USBMS","63","[SCSI transfer limited due to allocation_length too small]"
"53","3.730331","host","2.2.1","USB","27","URB_BULK in"
"54","3.730376","2.2.1","host","USBMS","40",""
"55","3.730391","host","2.2.2","USBMS","58","SCSI Command: 0x23 LUN:0x00 "
"56","3.730415","2.2.2","host","USB","27","URB_BULK out"
"57","3.730416","host","2.2.1","USB","27","URB_BULK in"
"58","3.730547","2.2.1","host","USBMS","47",""
"59","3.730548","host","2.2.1","USB","27","URB_BULK in"
"60","3.730601","2.2.1","host","USB","27","URB_BULK in"
"61","3.730611","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"62","3.730855","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"63","3.730858","host","2.2.1","USB","27","URB_BULK in"
"64","3.730886","2.2.1","host","USBMS","40",""
"65","3.730898","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00  Unit Serial Number Page "
"66","3.730917","2.2.2","host","USB","27","URB_BULK out"
"67","3.730918","host","2.2.1","USB","27","URB_BULK in"
"68","3.735063","2.2.1","host","USBMS","63",""
"69","3.735075","host","2.2.1","USB","27","URB_BULK in"
"70","3.735107","2.2.1","host","USB","27","URB_BULK in"
"71","3.735111","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"72","3.735340","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"73","3.735342","host","2.2.1","USB","27","URB_BULK in"
"74","3.735359","2.2.1","host","USBMS","40",""
"75","3.738309","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"76","3.738342","2.2.2","host","USB","27","URB_BULK out"
"77","3.738343","host","2.2.1","USB","27","URB_BULK in"
"78","3.738563","2.2.1","host","USBMS","35",""
"79","3.738565","host","2.2.1","USB","27","URB_BULK in"
"80","3.738623","2.2.1","host","USBMS","40",""
"81","3.738708","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"82","3.738728","2.2.2","host","USB","27","URB_BULK out"
"83","3.738729","host","2.2.1","USB","27","URB_BULK in"
"84","3.738882","2.2.1","host","USBMS","43",""
"85","3.738884","host","2.2.1","USB","27","URB_BULK in"
"86","3.738934","2.2.1","host","USB","27","URB_BULK in"
"87","3.738944","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"88","3.739211","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"89","3.739213","host","2.2.1","USB","27","URB_BULK in"
"90","3.739234","2.2.1","host","USBMS","40",""
"91","3.739614","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"92","3.739639","2.2.2","host","USB","27","URB_BULK out"
"93","3.739640","host","2.2.1","USB","27","URB_BULK in"
"94","3.739834","2.2.1","host","USBMS","47",""
"95","3.739836","host","2.2.1","USB","27","URB_BULK in"
"96","3.739884","2.2.1","host","USB","27","URB_BULK in"
"97","3.739892","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"98","3.740463","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"99","3.740465","host","2.2.1","USB","27","URB_BULK in"
"100","3.740482","2.2.1","host","USBMS","40",""
"101","3.740508","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"102","3.740531","2.2.2","host","USB","27","URB_BULK out"
"103","3.740533","host","2.2.1","USB","27","URB_BULK in"
"104","3.740779","2.2.1","host","USBMS","47",""
"105","3.740781","host","2.2.1","USB","27","URB_BULK in"
"106","3.740848","2.2.1","host","USB","27","URB_BULK in"
"107","3.740857","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
